Date,Temperature,Charge_Start,Charge_End,Daily_Mileage,Daily_Cycles,Total_Cycles,SOH
2021-09-03,6.7341645348468955,10,100,62.429383363498914,0,0,99.99356161994884
2021-09-04,-12.176870933306095,10,100,51.46109335243458,1,1,99.98666679734684
2021-09-05,4.457864628399403,10,100,99.25224432229584,1,2,99.98016892896973
2021-09-06,3.8861299670146536,10,100,77.96622381323786,1,3,99.97365489446504
2021-09-07,24.649078651771045,10,100,98.70991533796355,1,4,99.96763748177783
2021-09-08,22.841965034712082,10,100,57.066519233748934,1,5,99.96157436877
2021-09-09,7.5815045327385615,10,100,86.54474672229878,1,6,99.95514191751319
2021-09-10,19.965345645001904,10,100,36.43419430858519,1,7,99.94900505442811
2021-09-11,13.194556617708663,10,100,78.65958996493028,1,8,99.94270291442147
2021-09-12,23.55785555161102,10,100,60.77812523730107,1,9,99.93664797854862
2021-09-13,7.954391000209737,10,100,54.64149732091846,0,9,99.93021554078089
2021-09-14,44.31145823386325,10,100,44.41039258753848,1,10,99.92372610386357
2021-09-15,17.452782545199167,10,100,80.65371717964496,1,11,99.91751782751057
2021-09-16,22.079971149022874,10,100,57.27589798037468,1,12,99.91141881731247
2021-09-17,11.746445207090977,10,100,87.0648128501006,1,13,99.90506825323075
2021-09-18,9.083878621062134,10,100,93.75463030784698,1,14,99.89865106747422
2021-09-19,2.9636272220524313,10,100,42.0495034699414,1,15,99.89208373857153
2021-09-20,14.527429112632772,10,100,92.7199658796918,1,16,99.8857932323001
2021-09-21,21.9026659302574,10,100,59.2747583666668,1,17,99.87967856335695
2021-09-22,8.099838956911235,10,100,84.67996857004616,1,18,99.87322802514603
2021-09-23,3.6097842980077175,10,100,63.96766643085785,0,18,99.86666718199825
2021-09-24,6.250273039871796,10,100,85.07620956474287,1,19,99.86016775350417
2021-09-25,12.065896467370985,10,100,94.51964671795969,1,20,99.85380660271254
2021-09-26,24.235102446859987,10,100,98.15764005937343,1,21,99.8477376030834
2021-09-27,19.090499383272814,10,100,44.092361366726614,1,22,99.84154178957823
2021-09-28,1.5631872641807543,10,100,62.309459763257195,1,23,99.83491916046175
2021-09-29,22.392996282371968,10,100,45.38698543834349,1,24,99.8287987531476
2021-09-30,10.474192045418487,10,100,89.6010737485607,1,25,99.82238718241221
2021-10-01,49.09162421406498,10,100,86.69554461246457,1,26,99.8157412860139
2021-10-02,16.686321046014694,10,100,49.477822438564644,1,27,99.80947562947381
2021-10-03,9.265861183625665,10,100,92.94747864184772,0,27,99.80302823025026
2021-10-04,15.25770239397499,10,100,49.344990886086684,1,28,99.79672386744872
2021-10-05,15.40090051086684,10,100,84.59131419151603,1,29,99.79042064006296
2021-10-06,15.865835330581271,10,100,61.03926970028478,1,30,99.7841263652014
2021-10-07,3.284516909997853,10,100,94.77316055840198,1,31,99.77752404450524
2021-10-08,17.009102870808647,10,100,53.48136888949067,1,32,99.77125288603129
2021-10-09,4.928367857281657,10,100,53.48035584179664,1,33,99.76468563693498
2021-10-10,3.7925706731670368,10,100,57.06000744484963,1,34,99.75808832234416
2021-10-11,1.6315024598019896,10,100,93.50699468177095,1,35,99.75143597170639
2021-10-12,0.7399535488881476,10,100,62.38736921453524,1,36,99.7447594505372
2021-10-13,14.016695187107473,10,100,54.961979124019635,0,36,99.73840441296801
2021-10-14,2.7167871441740847,10,100,40.2502362988937,1,37,99.73177176094299
2021-10-15,0.506431844096672,10,100,65.4352200871208,1,38,99.72508278808647
2021-10-16,2.8364767396511614,10,100,99.58257689553893,1,39,99.71844813747182
2021-10-17,8.227151637888008,10,100,86.98251109313567,1,40,99.71194248878717
2021-10-18,16.971272544738476,10,100,43.97446877287249,1,41,99.70564774804753
2021-10-19,23.615338561938266,10,100,74.20354614477681,1,42,99.69951282200006
2021-10-20,3.4982108673711627,10,100,54.962360147656405,1,43,99.69288449407338
2021-10-21,10.963166168093794,10,100,83.93914053959114,1,44,99.68643602673546
2021-10-22,4.045355614557941,10,100,58.09715386461407,1,45,99.6798161599621
2021-10-23,7.98557962037573,10,100,34.62353906995109,0,45,99.67329079571769
2021-10-24,0.2997428939131186,10,100,57.887866816958606,1,46,99.66657512023136
2021-10-25,21.675474775456887,10,100,86.89752904948179,1,47,99.6603797333571
2021-10-26,9.345244765589387,10,100,51.092647585305436,1,48,99.65388039256248
2021-10-27,24.050866725383642,10,100,78.50306281911054,1,49,99.64773856100497
2021-10-28,1.3220552494966176,10,100,77.73611373083236,1,50,99.64103798016622
2021-10-29,9.578688895940104,10,100,91.69569086621536,1,51,99.63453714947481
2021-10-30,44.30533442062848,10,100,81.23452022265076,1,52,99.62793875312163
2021-10-31,18.442262986947853,10,100,37.06365619357224,1,53,99.62165037133018
2021-11-01,23.053417487853682,10,100,48.455855507073814,1,54,99.61547273180014
2021-11-02,18.705954359158632,10,100,37.62825367851193,0,54,99.60918679971748
2021-11-03,23.2032649662306,10,100,66.07079097806236,1,55,99.6030088908015
2021-11-04,9.61021483275834,10,100,32.77269404526259,1,56,99.59649506991548
2021-11-05,1.9944260604402437,10,100,61.91861921210617,1,57,99.5897918527321
2021-11-06,0.030433898104545443,10,100,39.23134714077531,1,58,99.58303792302523
2021-11-07,6.017791647091686,10,100,71.38042418442599,1,59,99.57642862160782
2021-11-08,1.2075487061231542,10,100,62.735485186171715,1,60,99.56969864533055
2021-11-09,21.195460786240137,10,100,83.4527790912792,1,61,99.56345768427693
2021-11-10,1.0525552006255878,10,100,30.682334045275766,1,62,99.55671893451243
2021-11-11,13.237546370353526,10,100,72.92558847100125,1,63,99.55027754767971
2021-11-12,23.082528835636353,10,100,91.3642236436578,0,63,99.54407675690327
2021-11-13,17.205548650537132,10,100,56.37386609040994,1,64,99.53772897143267
2021-11-14,18.833162454969706,10,100,72.62074078018173,1,65,99.53141894131556
2021-11-15,12.216463263422922,10,100,97.15556217812588,1,66,99.52494354292578
2021-11-16,5.019231263347434,10,100,75.21090109596628,1,67,99.51828834543139
2021-11-17,0.27809073554676267,10,100,63.13749310293923,1,68,99.5115137844365
2021-11-18,5.273729794020893,10,100,75.07393761137666,1,69,99.50485996799797
2021-11-19,10.79251184191365,10,100,62.04365878035542,1,70,99.49833989643069
2021-11-20,22.366011856337575,10,100,89.43031549176845,1,71,99.49210314184677
2021-11-21,12.674151549387794,10,100,67.64653683445346,1,72,99.48562474476329
2021-11-22,14.58346146638938,10,100,79.50863270247112,0,72,99.47919177532577
2021-11-23,15.782682268471188,10,100,80.13206749748474,1,73,99.47278607713561
2021-11-24,11.709104356889796,10,100,55.02993987863566,1,74,99.46627732398791
2021-11-25,17.838938665734457,10,100,79.30737124112696,1,75,99.45991777039596
2021-11-26,7.5015849932847765,10,100,35.99215931931695,1,76,99.45330014677741
2021-11-27,22.875975379463302,10,100,89.1346498043161,1,77,99.447060579482
2021-11-28,0.5623921331767812,10,100,39.98047070569308,1,78,99.44026630287202
2021-11-29,11.19138326296672,10,100,87.82235399776476,1,79,99.43373277275998
2021-11-30,24.21633789139147,10,100,78.40171179300125,1,80,99.42751954253362
2021-12-01,9.37843890930939,10,100,32.84145574585525,1,81,99.42093628595309
2021-12-02,2.9426620075320713,10,100,91.61878015392139,0,81,99.41419171949333
2021-12-03,-4.227921359690764,10,100,74.67701781017573,1,82,99.40726684954022
2021-12-04,-4.632801967469673,10,100,84.18811553151556,1,83,99.40032939672945
2021-12-05,-2.362885020388647,10,100,40.66824792077091,1,84,99.39344573710925
2021-12-06,-1.7715279928154013,10,100,39.70682067162889,1,85,99.38657423741887
2021-12-07,-11.95290539313104,10,100,58.239845022380145,1,86,99.3794473517887
2021-12-08,-1.9663154233169866,10,100,93.75950641597069,1,87,99.37256597838471
2021-12-09,2.2886382837284627,10,100,42.32432479287915,1,88,99.36578784086554
2021-12-10,-1.4499831668216716,10,100,63.04808033034638,1,89,99.35891426628392
2021-12-11,2.507066356699461,10,100,69.10069908722616,1,90,99.35213659926603
2021-12-12,-1.651796076568238,10,100,32.48396484775612,0,90,99.34525365416967
2021-12-13,6.766713177487759,10,100,84.7865972059096,1,91,99.3385777157979
2021-12-14,3.4168202687376983,10,100,65.93232253139436,1,92,99.3318159314219
2021-12-15,5.1164133846473,10,100,82.8455708074804,1,93,99.32509400602747
2021-12-16,1.5778743596262936,10,100,59.67988297377339,1,94,99.31828145762032
2021-12-17,-4.261479448583296,10,100,45.8577738364982,1,95,99.31132087366116
2021-12-18,2.9377992252372165,10,100,41.438495935826225,1,96,99.30453725369763
2021-12-19,-1.586574643352848,10,100,30.99595592428685,1,97,99.29763830326816
2021-12-20,9.930840037284407,10,100,34.48073092381895,1,98,99.29102421904115
2021-12-21,-3.294120803742779,10,100,38.779584366816685,1,99,99.28407760600876
2021-12-22,-0.08488819738388642,10,100,63.065539221071276,0,99,99.27720927325589
2021-12-23,6.619816969282869,10,100,71.44570306298596,1,100,99.27050589804233
2021-12-24,4.19348156728892,10,100,75.85026570641642,1,101,99.2637394515263
2021-12-25,5.472867589560696,10,100,30.05026363745226,1,102,99.25700251507892
2021-12-26,-4.775639512728372,10,100,72.0636393151249,1,103,99.25000686235663
2021-12-27,-4.92143043167582,10,100,43.37804140281179,1,104,99.24300501168854
2021-12-28,4.681654573653994,10,100,87.17849228886114,1,105,99.23624090371786
2021-12-29,0.8076954893859538,10,100,75.44587441826239,1,106,99.22937735764893
